Invoice number,3806626657,
Invoice date,2020-10-31,
Due date,2020-11-30,
Billing ID,5261-1868-6451,
Billing account ID,01A56A-FF37DD-411346,
Currency,USD,
Total amount due,"$11,676.40",
Billing account name,Billing account ID,Project name,Project ID,Service description,Service ID,SKU description,SKU ID,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost ($),Cost ($),
Data Hub,01A56A-FF37DD-411346,ucb-datahub-2018,ucb-datahub-2018,Compute Engine,6F81-5844-456A,Balanced PD Capacity,6AE1-525F-8B80,,Usage,2020-09-30,2020-10-31,"16,316.099",gibibyte month,1631.635543,1631.64,
Data Hub,01A56A-FF37DD-411346,ucb-datahub-2018,ucb-datahub-2018,Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in Americas,2E27-4F75-95CD,,Usage,2020-09-30,2020-10-31,"47,536.846",hour,1502.686902,1502.69,
Data Hub,01A56A-FF37DD-411346,ucb-datahub-2018,ucb-datahub-2018,Compute Engine,6F81-5844-456A,E2 Instance Core running in Americas,CF4E-A0C7-E3BF,,Usage,2020-09-30,2020-10-31,"61,326.534",hour,1337.628595,1337.63,
Data Hub,01A56A-FF37DD-411346,ucb-datahub-2018,ucb-datahub-2018,Compute Engine,6F81-5844-456A,N1 Predefined Instance Ram running in Americas,6C71-E844-38BC,,Usage,2020-09-30,2020-10-31,"305,938.808",gibibyte hour,1296.262388,1296.26,
Data Hub,01A56A-FF37DD-411346,ucb-datahub-2018,ucb-datahub-2018,Compute Engine,6F81-5844-456A,E2 Instance Ram running in Americas,F449-33EC-A5EF,,Usage,2020-09-30,2020-10-31,"422,169.963",gibibyte hour,1234.225937,1234.23,
Data Hub,01A56A-FF37DD-411346,ucb-datahub-2018,ucb-datahub-2018,Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in Americas,2E27-4F75-95CD,,Usage,2020-09-30,2020-10-31,"38,637.712",hour,1221.376431,1221.38,
Data Hub,01A56A-FF37DD-411346,ucb-datahub-2018,ucb-datahub-2018,Compute Engine,6F81-5844-456A,N1 Predefined Instance Ram running in Americas,6C71-E844-38BC,,Usage,2020-10-01,2020-10-31,"246,318.156",gibibyte hour,1043.649738,1043.65,
Data Hub,01A56A-FF37DD-411346,ucb-datahub-2018,ucb-datahub-2018,Compute Engine,6F81-5844-456A,SSD backed PD Capacity,B188-61DD-52E4,,Usage,2020-09-30,2020-10-31,"5,406.037",gibibyte month,919.150449,919.15,
Data Hub,01A56A-FF37DD-411346,ucb-datahub-2018,ucb-datahub-2018,Compute Engine,6F81-5844-456A,Storage Machine Image,A652-E97D-AB77,,Usage,2020-09-30,2020-10-31,"8,926.645",gibibyte month,446.371906,446.37,
Data Hub,01A56A-FF37DD-411346,data8x-scratch,data8x-scratch,Compute Engine,6F81-5844-456A,Storage PD Capacity,D973-5D65-BAB2,,Usage,2020-09-30,2020-10-31,"9,433.381",gibibyte month,376.676575,376.68,
Data Hub,01A56A-FF37DD-411346,ucb-datahub-2018,ucb-datahub-2018,Compute Engine,6F81-5844-456A,Storage PD Capacity,D973-5D65-BAB2,,Usage,2020-09-30,2020-10-31,"9,260.071",gibibyte month,369.921344,369.92,
Data Hub,01A56A-FF37DD-411346,ucb-datahub-2018,ucb-datahub-2018,Compute Engine,6F81-5844-456A,Storage PD Snapshot in US,34CF-7D88-5D40,,Usage,2020-09-30,2020-10-31,"12,068.777",gibibyte month,313.814866,313.81,
Data Hub,01A56A-FF37DD-411346,ucb-datahub-2018,ucb-datahub-2018,Compute Engine,6F81-5844-456A,Commitment v1: E2 Ram in Americas for 1 Year,8826-F8CF-0346,,Usage,2020-09-30,2020-10-31,"95,487.46",gibibyte hour,175.870918,175.87,
Data Hub,01A56A-FF37DD-411346,ucb-datahub-2018,ucb-datahub-2018,Compute Engine,6F81-5844-456A,Commitment v1: E2 Cpu in Americas for 1 Year,F0E3-4F53-A0FB,,Usage,2020-09-30,2020-10-31,"11,935.933",hour,164.015096,164.02,
Data Hub,01A56A-FF37DD-411346,data8x-scratch,data8x-scratch,Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in Americas,2E27-4F75-95CD,,Usage,2020-09-30,2020-10-31,"4,685.508",hour,148.113294,148.11,
Data Hub,01A56A-FF37DD-411346,ucb-datahub-2018,ucb-datahub-2018,Compute Engine,6F81-5844-456A,Network Internet Egress from Americas to Americas,F274-1692-F213,,Usage,2020-09-30,2020-10-31,"1,161.885",gibibyte,137.709181,137.71,
Data Hub,01A56A-FF37DD-411346,data8x-scratch,data8x-scratch,Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in Americas,2E27-4F75-95CD,,Usage,2020-10-01,2020-10-31,"4,270.976",hour,135.009541,135.01,
Data Hub,01A56A-FF37DD-411346,ucb-datahub-2018,ucb-datahub-2018,Compute Engine,6F81-5844-456A,Network Load Balancing: Forwarding Rule Additional Service Charge in Americas,E7EB-2F82-336A,,Usage,2020-09-30,2020-10-31,"12,904.129",hour,129.041148,129.04,
