"Time","Value"
2020-11-28 11:00:00,78144143360
2020-11-28 23:00:00,210253737984
2020-11-29 11:00:00,92368211968
2020-11-29 23:00:00,341230620672
2020-11-30 11:00:00,197988540416
2020-11-30 23:00:00,459108679680
2020-12-01 11:00:00,37922222080
2020-12-01 23:00:00,100988887040
2020-12-02 11:00:00,47860154368
2020-12-02 23:00:00,113317277696
2020-12-03 11:00:00,53516247040
2020-12-03 23:00:00,214168039424
2020-12-04 11:00:00,11809730560
2020-12-04 23:00:00,15421898752
2020-12-05 11:00:00,9255190528
2020-12-05 23:00:00,22196752384
2020-12-06 11:00:00,8913207296
2020-12-06 23:00:00,14473060352
2020-12-07 11:00:00,20034838528
2020-12-07 23:00:00,58541670400
2020-12-08 11:00:00,14274465792
2020-12-08 23:00:00,16565989376
2020-12-09 11:00:00,8937762816
2020-12-09 23:00:00,19533320192
2020-12-10 11:00:00,7423070208
2020-12-10 23:00:00,8348311552
2020-12-11 11:00:00,10517069824
2020-12-11 23:00:00,9049788416
2020-12-12 11:00:00,9429389312
2020-12-12 23:00:00,10671104000
2020-12-13 11:00:00,8802934784
2020-12-13 23:00:00,18335903744
2020-12-14 11:00:00,8874909696
2020-12-14 23:00:00,20605632512
2020-12-15 11:00:00,11083694080
2020-12-15 23:00:00,90735583232
2020-12-16 11:00:00,20558004224
2020-12-16 23:00:00,4875165696
2020-12-17 11:00:00,2721947648
2020-12-17 23:00:00,5778554880
2020-12-18 11:00:00,788373504
2020-12-18 23:00:00,2670051328
2020-12-19 11:00:00,831086592
2020-12-19 23:00:00,1068961792
2020-12-20 11:00:00,3212566528
2020-12-20 23:00:00,5721587712
2020-12-21 11:00:00,2255159296
2020-12-21 23:00:00,6573969408
2020-12-22 11:00:00,2885386240
2020-12-22 23:00:00,2304720896
2020-12-23 11:00:00,2224635904
2020-12-23 23:00:00,1233240064
2020-12-24 11:00:00,762544128
2020-12-24 23:00:00,1332068352
2020-12-25 11:00:00,850001920
2020-12-25 23:00:00,3666903040
2020-12-26 11:00:00,233938944
2020-12-26 23:00:00,1744605184
2020-12-27 11:00:00,1347571712
2020-12-27 23:00:00,4602540032
2020-12-28 11:00:00,695435264
2020-12-28 23:00:00,3063635968
2020-12-29 11:00:00,1236897792
2020-12-29 23:00:00,1584930816
2020-12-30 11:00:00,1181106176
2020-12-30 23:00:00,1695903744
2020-12-31 11:00:00,293576704
2020-12-31 23:00:00,778252288
2021-01-01 11:00:00,290439168
2021-01-01 23:00:00,531013632
2021-01-02 11:00:00,
2021-01-02 23:00:00,1480155136
2021-01-03 11:00:00,1686446080
2021-01-03 23:00:00,1188233216
2021-01-04 11:00:00,532602880
2021-01-04 23:00:00,5107683328
2021-01-05 11:00:00,2524000256
2021-01-05 23:00:00,4306903040
2021-01-06 11:00:00,4052185088
2021-01-06 23:00:00,2841378816
2021-01-07 11:00:00,727498752
2021-01-07 23:00:00,1516998656
2021-01-08 11:00:00,1060274176
2021-01-08 23:00:00,1040977920
2021-01-09 11:00:00,1344942080
2021-01-09 23:00:00,1280487424
2021-01-10 11:00:00,860962816
2021-01-10 23:00:00,2567675904
2021-01-11 11:00:00,
2021-01-11 23:00:00,7346872320
2021-01-12 11:00:00,3559903232
2021-01-12 23:00:00,1453023232
2021-01-13 11:00:00,4090171392
2021-01-13 23:00:00,3013074944
2021-01-14 11:00:00,715771904
2021-01-14 23:00:00,4820398080
2021-01-15 11:00:00,619855872
2021-01-15 23:00:00,886956032
2021-01-16 11:00:00,1023123456
2021-01-16 23:00:00,866508800
2021-01-17 11:00:00,4201005056
2021-01-17 23:00:00,3268071424
2021-01-18 11:00:00,4104007680
2021-01-18 23:00:00,10323488768
2021-01-19 11:00:00,16573169664
2021-01-19 23:00:00,9611665408
2021-01-20 11:00:00,3035652096
2021-01-20 23:00:00,8072101888
2021-01-21 11:00:00,7900348416
2021-01-21 23:00:00,6506184704
2021-01-22 11:00:00,3569393664
2021-01-22 23:00:00,45013020672
2021-01-23 11:00:00,24951160832
2021-01-23 23:00:00,58288320512
2021-01-24 11:00:00,30943981568
2021-01-24 23:00:00,84660281344
2021-01-25 11:00:00,47181578240
2021-01-25 23:00:00,85189193728
2021-01-26 11:00:00,43397021696
2021-01-26 23:00:00,105559666688
2021-01-27 11:00:00,49723830272
2021-01-27 23:00:00,155990585344
2021-01-28 11:00:00,90923958272
2021-01-28 23:00:00,210863935488
2021-01-29 11:00:00,7967723520
2021-01-29 23:00:00,75544580096
2021-01-30 11:00:00,21183029248
2021-01-30 23:00:00,58599567360
2021-01-31 11:00:00,22725595136
2021-01-31 23:00:00,72577601536
2021-02-01 11:00:00,52246278144
2021-02-01 23:00:00,98057900032
2021-02-02 11:00:00,52373241856
2021-02-02 23:00:00,136017338368
2021-02-03 11:00:00,58726486016
2021-02-03 23:00:00,169190125568
2021-02-04 11:00:00,126600290304
2021-02-04 23:00:00,243748491264
2021-02-05 11:00:00,10622128128
2021-02-05 23:00:00,59768213504
2021-02-06 11:00:00,39455735808
2021-02-06 23:00:00,88461590528
2021-02-07 11:00:00,33154412544
2021-02-07 23:00:00,136448745472
2021-02-08 11:00:00,122766598144
2021-02-08 23:00:00,198196924416
2021-02-09 11:00:00,107127078912
2021-02-09 23:00:00,185997565952
2021-02-10 11:00:00,106487349248
2021-02-10 23:00:00,227068219392
2021-02-11 11:00:00,130822766592
2021-02-11 23:00:00,463876784128
2021-02-12 11:00:00,137540431872
2021-02-12 23:00:00,240172777472
2021-02-13 11:00:00,58989056000
2021-02-13 23:00:00,210896228352
2021-02-14 11:00:00,46713110528
2021-02-14 23:00:00,89642471424
2021-02-15 11:00:00,47498133504
2021-02-15 23:00:00,133293158400
2021-02-16 11:00:00,76697579520
2021-02-16 23:00:00,265537597440
2021-02-17 11:00:00,121289203712
2021-02-17 23:00:00,392952561664
2021-02-18 11:00:00,218252636160
2021-02-18 23:00:00,657830297600
2021-02-19 11:00:00,19092283392
2021-02-19 23:00:00,76061102080
2021-02-20 11:00:00,28784267264
2021-02-20 23:00:00,76123918336
2021-02-21 11:00:00,34029113344
2021-02-21 23:00:00,94541918208
2021-02-22 11:00:00,103666442240
2021-02-22 23:00:00,113446809600
2021-02-23 11:00:00,76599050240
2021-02-23 23:00:00,118243008512
2021-02-24 11:00:00,55770976256
2021-02-24 23:00:00,174460129280
2021-02-25 11:00:00,76913061888
2021-02-25 23:00:00,286125662208
2021-02-26 11:00:00,9296031744
2021-02-26 23:00:00,22523994112
2021-02-27 11:00:00,10386923520
2021-02-27 23:00:00,29113696256
2021-02-28 11:00:00,6456975360
2021-02-28 23:00:00,30515097600
2021-03-01 11:00:00,17655320576
2021-03-01 23:00:00,18377146368
2021-03-02 11:00:00,12345978880
2021-03-02 23:00:00,25081794560
2021-03-03 11:00:00,18998398976
2021-03-03 23:00:00,24100741120
2021-03-04 11:00:00,17444466688
2021-03-04 23:00:00,57152765952
2021-03-05 11:00:00,11006238720
2021-03-05 23:00:00,20897480704
2021-03-06 11:00:00,13689327616
2021-03-06 23:00:00,26019655680
2021-03-07 11:00:00,16328318976
2021-03-07 23:00:00,42801082368
2021-03-08 11:00:00,16310923264
2021-03-08 23:00:00,47081304064
2021-03-09 11:00:00,33922641920
2021-03-09 23:00:00,34036948992
2021-03-10 11:00:00,19238162432
2021-03-10 23:00:00,36953546752
2021-03-11 11:00:00,37011697664
2021-03-11 23:00:00,145105891328
2021-03-12 11:00:00,6325063680
2021-03-12 23:00:00,62514393088
2021-03-13 11:00:00,47036407808
2021-03-13 23:00:00,108728168448
2021-03-14 12:00:00,51172306944
2021-03-15 00:00:00,61769605120
2021-03-15 12:00:00,173390651392
2021-03-16 00:00:00,54150594560
2021-03-16 12:00:00,142097334272
2021-03-17 00:00:00,69976367104
2021-03-17 12:00:00,55642202112
2021-03-18 00:00:00,66904559616
2021-03-18 12:00:00,68264927232
