"Time","Value"
2020-11-28 11:00:00,1416839168
2020-11-28 23:00:00,823996416
2020-11-29 11:00:00,920977408
2020-11-29 23:00:00,561364992
2020-11-30 11:00:00,2478088192
2020-11-30 23:00:00,930246656
2020-12-01 11:00:00,3802873856
2020-12-01 23:00:00,1392467968
2020-12-02 11:00:00,1698594816
2020-12-02 23:00:00,2413232128
2020-12-03 11:00:00,1278861312
2020-12-03 23:00:00,5718294528
2020-12-04 11:00:00,2978492416
2020-12-04 23:00:00,3913080832
2020-12-05 11:00:00,906588160
2020-12-05 23:00:00,8182808576
2020-12-06 11:00:00,2570084352
2020-12-06 23:00:00,13204865024
2020-12-07 11:00:00,12489920512
2020-12-07 23:00:00,47610216448
2020-12-08 11:00:00,1326514176
2020-12-08 23:00:00,4454170624
2020-12-09 11:00:00,616972288
2020-12-09 23:00:00,3037442048
2020-12-10 11:00:00,1320099840
2020-12-10 23:00:00,2097364992
2020-12-11 11:00:00,691462144
2020-12-11 23:00:00,431857664
2020-12-12 11:00:00,359014400
2020-12-12 23:00:00,3682705408
2020-12-13 11:00:00,1281294336
2020-12-13 23:00:00,1393065984
2020-12-14 11:00:00,431562752
2020-12-14 23:00:00,4613267456
2020-12-15 11:00:00,938278912
2020-12-15 23:00:00,5217984512
2020-12-16 11:00:00,3217526784
2020-12-16 23:00:00,5719355392
2020-12-17 11:00:00,2781011968
2020-12-17 23:00:00,4239269888
2020-12-18 11:00:00,6554673152
2020-12-18 23:00:00,
2020-12-19 11:00:00,
2020-12-19 23:00:00,403185664
2020-12-20 11:00:00,
2020-12-20 23:00:00,
2020-12-21 11:00:00,594796544
2020-12-21 23:00:00,
2020-12-22 11:00:00,439590912
2020-12-22 23:00:00,123772928
2020-12-23 11:00:00,
2020-12-23 23:00:00,
2020-12-24 11:00:00,216449024
2020-12-24 23:00:00,
2020-12-25 11:00:00,
2020-12-25 23:00:00,215363584
2020-12-26 11:00:00,
2020-12-26 23:00:00,215040000
2020-12-27 11:00:00,
2020-12-27 23:00:00,216825856
2020-12-28 11:00:00,
2020-12-28 23:00:00,376225792
2020-12-29 11:00:00,
2020-12-29 23:00:00,
2020-12-30 11:00:00,
2020-12-30 23:00:00,
2020-12-31 11:00:00,
2020-12-31 23:00:00,143998976
2021-01-01 11:00:00,
2021-01-01 23:00:00,
2021-01-02 11:00:00,
2021-01-02 23:00:00,214818816
2021-01-03 11:00:00,304685056
2021-01-03 23:00:00,
2021-01-04 11:00:00,
2021-01-04 23:00:00,
2021-01-05 11:00:00,
2021-01-05 23:00:00,
2021-01-06 11:00:00,215048192
2021-01-06 23:00:00,237625344
2021-01-07 11:00:00,240607232
2021-01-07 23:00:00,289300480
2021-01-08 11:00:00,
2021-01-08 23:00:00,
2021-01-09 11:00:00,155754496
2021-01-09 23:00:00,
2021-01-10 11:00:00,
2021-01-10 23:00:00,
2021-01-11 11:00:00,
2021-01-11 23:00:00,
2021-01-12 11:00:00,
2021-01-12 23:00:00,
2021-01-13 11:00:00,
2021-01-13 23:00:00,
2021-01-14 11:00:00,
2021-01-14 23:00:00,
2021-01-15 11:00:00,
2021-01-15 23:00:00,
2021-01-16 11:00:00,
2021-01-16 23:00:00,
2021-01-17 11:00:00,
2021-01-17 23:00:00,
2021-01-18 11:00:00,
2021-01-18 23:00:00,
2021-01-19 11:00:00,1055670272
2021-01-19 23:00:00,13755346944
2021-01-20 11:00:00,8480260096
2021-01-20 23:00:00,22935613440
2021-01-21 11:00:00,6605905920
2021-01-21 23:00:00,26359947264
2021-01-22 11:00:00,10173644800
2021-01-22 23:00:00,18689015808
2021-01-23 11:00:00,10435600384
2021-01-23 23:00:00,25070018560
2021-01-24 11:00:00,19337863168
2021-01-24 23:00:00,51816071168
2021-01-25 11:00:00,32034156544
2021-01-25 23:00:00,78607638528
2021-01-26 11:00:00,7936253952
2021-01-26 23:00:00,21583273984
2021-01-27 11:00:00,7320813568
2021-01-27 23:00:00,17646800896
2021-01-28 11:00:00,4597063680
2021-01-28 23:00:00,25925615616
2021-01-29 11:00:00,13298679808
2021-01-29 23:00:00,19359408128
2021-01-30 11:00:00,8033083392
2021-01-30 23:00:00,25307398144
2021-01-31 11:00:00,14819725312
2021-01-31 23:00:00,43174371328
2021-02-01 11:00:00,27301908480
2021-02-01 23:00:00,91770736640
2021-02-02 11:00:00,3338305536
