"Time","Value"
2020-11-28 11:00:00,147587072
2020-11-28 23:00:00,11035406336
2020-11-29 11:00:00,8438812672
2020-11-29 23:00:00,14244950016
2020-11-30 11:00:00,5202841600
2020-11-30 23:00:00,11356659712
2020-12-01 11:00:00,287145984
2020-12-01 23:00:00,5620617216
2020-12-02 11:00:00,736735232
2020-12-02 23:00:00,5512224768
2020-12-03 11:00:00,2698698752
2020-12-03 23:00:00,691666944
2020-12-04 11:00:00,6893604864
2020-12-04 23:00:00,3327893504
2020-12-05 11:00:00,1451540480
2020-12-05 23:00:00,14905126912
2020-12-06 11:00:00,2383290368
2020-12-06 23:00:00,4028907520
2020-12-07 11:00:00,255852544
2020-12-07 23:00:00,389251072
2020-12-08 11:00:00,
2020-12-08 23:00:00,3311968256
2020-12-09 11:00:00,10441609216
2020-12-09 23:00:00,3439132672
2020-12-10 11:00:00,1106804736
2020-12-10 23:00:00,
2020-12-11 11:00:00,
2020-12-11 23:00:00,
2020-12-12 11:00:00,
2020-12-12 23:00:00,435609600
2020-12-13 11:00:00,
2020-12-13 23:00:00,
2020-12-14 11:00:00,
2020-12-14 23:00:00,
2020-12-15 11:00:00,456171520
2020-12-15 23:00:00,3326992384
2020-12-16 11:00:00,298000384
2020-12-16 23:00:00,306896896
2020-12-17 11:00:00,2009538560
2020-12-17 23:00:00,
2020-12-18 11:00:00,129064960
2020-12-18 23:00:00,
2020-12-19 11:00:00,
2020-12-19 23:00:00,
2020-12-20 11:00:00,1244569600
2020-12-20 23:00:00,
2020-12-21 11:00:00,
2020-12-21 23:00:00,
2020-12-22 11:00:00,
2020-12-22 23:00:00,
2020-12-23 11:00:00,
2020-12-23 23:00:00,
2020-12-24 11:00:00,
2020-12-24 23:00:00,536059904
2020-12-25 11:00:00,536059904
2020-12-25 23:00:00,754122752
2020-12-26 11:00:00,754434048
2020-12-26 23:00:00,222142464
2020-12-27 11:00:00,222208000
2020-12-27 23:00:00,
2020-12-28 11:00:00,
2020-12-28 23:00:00,
2020-12-29 11:00:00,
2020-12-29 23:00:00,
2020-12-30 11:00:00,
2020-12-30 23:00:00,
2020-12-31 11:00:00,
2020-12-31 23:00:00,
2021-01-01 11:00:00,
2021-01-01 23:00:00,
2021-01-02 11:00:00,
2021-01-02 23:00:00,
2021-01-03 11:00:00,
2021-01-03 23:00:00,
2021-01-04 11:00:00,
2021-01-04 23:00:00,
2021-01-05 11:00:00,
2021-01-05 23:00:00,
2021-01-06 11:00:00,
2021-01-06 23:00:00,
2021-01-07 11:00:00,
2021-01-07 23:00:00,
2021-01-08 11:00:00,
2021-01-08 23:00:00,
2021-01-09 11:00:00,
2021-01-09 23:00:00,
2021-01-10 11:00:00,
2021-01-10 23:00:00,
2021-01-11 11:00:00,
2021-01-11 23:00:00,366436352
2021-01-12 11:00:00,
2021-01-12 23:00:00,
2021-01-13 11:00:00,
2021-01-13 23:00:00,
2021-01-14 11:00:00,284844032
2021-01-14 23:00:00,
2021-01-15 11:00:00,
2021-01-15 23:00:00,
2021-01-16 11:00:00,
2021-01-16 23:00:00,478060544
2021-01-17 11:00:00,579526656
2021-01-17 23:00:00,
2021-01-18 11:00:00,
2021-01-18 23:00:00,
2021-01-19 11:00:00,
2021-01-19 23:00:00,
2021-01-20 11:00:00,183500800
2021-01-20 23:00:00,592674816
2021-01-21 11:00:00,
2021-01-21 23:00:00,600539136
2021-01-22 11:00:00,
2021-01-22 23:00:00,
2021-01-23 11:00:00,
2021-01-23 23:00:00,
2021-01-24 11:00:00,
2021-01-24 23:00:00,
2021-01-25 11:00:00,729096192
2021-01-25 23:00:00,701407232
2021-01-26 11:00:00,687235072
2021-01-26 23:00:00,
2021-01-27 11:00:00,
2021-01-27 23:00:00,1343447040
2021-01-28 11:00:00,720125952
2021-01-28 23:00:00,528285696
2021-01-29 11:00:00,1246625792
2021-01-29 23:00:00,2674204672
2021-01-30 11:00:00,1309343744
2021-01-30 23:00:00,
2021-01-31 11:00:00,832274432
2021-01-31 23:00:00,1300488192
2021-02-01 11:00:00,422682624
2021-02-01 23:00:00,2730508288
2021-02-02 11:00:00,2938372096
2021-02-02 23:00:00,2860826624
2021-02-03 11:00:00,2206687232
2021-02-03 23:00:00,4364861440
2021-02-04 11:00:00,3647700992
2021-02-04 23:00:00,7279394816
2021-02-05 11:00:00,3198509056
2021-02-05 23:00:00,4494213120
2021-02-06 11:00:00,2367565824
2021-02-06 23:00:00,2013216768
2021-02-07 11:00:00,1459093504
2021-02-07 23:00:00,3016450048
2021-02-08 11:00:00,3962167296
2021-02-08 23:00:00,6402105344
2021-02-09 11:00:00,3979554816
2021-02-09 23:00:00,10345775104
2021-02-10 11:00:00,8551161856
2021-02-10 23:00:00,4466221056
2021-02-11 11:00:00,2178260992
2021-02-11 23:00:00,3384926208
2021-02-12 11:00:00,3191685120
2021-02-12 23:00:00,2865864704
2021-02-13 11:00:00,2472443904
2021-02-13 23:00:00,2333237248
2021-02-14 11:00:00,2152308736
2021-02-14 23:00:00,2152308736
2021-02-15 11:00:00,259899392
2021-02-15 23:00:00,1075429376
2021-02-16 11:00:00,1046216704
2021-02-16 23:00:00,2384855040
2021-02-17 11:00:00,793960448
2021-02-17 23:00:00,
2021-02-18 11:00:00,637140992
2021-02-18 23:00:00,3907575808
2021-02-19 11:00:00,2075639808
2021-02-19 23:00:00,810344448
2021-02-20 11:00:00,810409984
2021-02-20 23:00:00,
2021-02-21 11:00:00,
2021-02-21 23:00:00,
2021-02-22 11:00:00,992968704
2021-02-22 23:00:00,1052606464
2021-02-23 11:00:00,701181952
2021-02-23 23:00:00,901124096
2021-02-24 11:00:00,
2021-02-24 23:00:00,1647931392
2021-02-25 11:00:00,2992893952
2021-02-25 23:00:00,5270716416
2021-02-26 11:00:00,4776075264
2021-02-26 23:00:00,4015546368
2021-02-27 11:00:00,459046912
2021-02-27 23:00:00,398807040
2021-02-28 11:00:00,316006400
2021-02-28 23:00:00,4341514240
2021-03-01 11:00:00,1724035072
2021-03-01 23:00:00,1807720448
2021-03-02 11:00:00,750624768
2021-03-02 23:00:00,488947712
2021-03-03 11:00:00,317407232
2021-03-03 23:00:00,
2021-03-04 11:00:00,560365568
2021-03-04 23:00:00,1746489344
2021-03-05 11:00:00,3006242816
2021-03-05 23:00:00,3348713472
2021-03-06 11:00:00,1510014976
2021-03-06 23:00:00,3420078080
2021-03-07 11:00:00,3425083392
2021-03-07 23:00:00,5230460928
2021-03-08 11:00:00,3493126144
2021-03-08 23:00:00,2650619904
2021-03-09 11:00:00,1588084736
2021-03-09 23:00:00,5264355328
2021-03-10 11:00:00,1563418624
2021-03-10 23:00:00,
2021-03-11 11:00:00,1186312192
2021-03-11 23:00:00,2275172352
2021-03-12 11:00:00,1714610176
2021-03-12 23:00:00,4766654464
2021-03-13 11:00:00,
2021-03-13 23:00:00,3216785408
2021-03-14 12:00:00,1147166720
2021-03-15 00:00:00,1708097536
2021-03-15 12:00:00,1446240256
2021-03-16 00:00:00,3863756800
2021-03-16 12:00:00,1011359744
2021-03-17 00:00:00,4927713280
2021-03-17 12:00:00,1124540416
2021-03-18 00:00:00,
2021-03-18 12:00:00,7349325824
2021-03-19 00:00:00,1060134912
2021-03-19 12:00:00,4583075840
2021-03-20 00:00:00,
2021-03-20 12:00:00,
2021-03-21 00:00:00,
2021-03-21 12:00:00,788275200
2021-03-22 00:00:00,
2021-03-22 12:00:00,1055944704
2021-03-23 00:00:00,529244160
2021-03-23 12:00:00,504053760
2021-03-24 00:00:00,1743233024
2021-03-24 12:00:00,4672466944
2021-03-25 00:00:00,5583855616
2021-03-25 12:00:00,190799872
2021-03-26 00:00:00,
2021-03-26 12:00:00,1230176256
2021-03-27 00:00:00,
2021-03-27 12:00:00,
2021-03-28 00:00:00,3251535872
2021-03-28 12:00:00,319315968
2021-03-29 00:00:00,3630956544
2021-03-29 12:00:00,1488388096
2021-03-30 00:00:00,
2021-03-30 12:00:00,756256768
2021-03-31 00:00:00,1871265792
2021-03-31 12:00:00,1197322240
2021-04-01 00:00:00,344031232
2021-04-01 12:00:00,1329340416
2021-04-02 00:00:00,4212932608
2021-04-02 12:00:00,3964669952
2021-04-03 00:00:00,1359458304
2021-04-03 12:00:00,552542208
2021-04-04 00:00:00,
2021-04-04 12:00:00,
2021-04-05 00:00:00,
2021-04-05 12:00:00,314957824
2021-04-06 00:00:00,1988034560
2021-04-06 12:00:00,1932627968
2021-04-07 00:00:00,3788886016
2021-04-07 12:00:00,7387000832
2021-04-08 00:00:00,
2021-04-08 12:00:00,3787665408
2021-04-09 00:00:00,2664558592
2021-04-09 12:00:00,629129216
2021-04-10 00:00:00,1013198848
2021-04-10 12:00:00,320856064
2021-04-11 00:00:00,407216128
2021-04-11 12:00:00,
2021-04-12 00:00:00,186646528
2021-04-12 12:00:00,
2021-04-13 00:00:00,1121554432
2021-04-13 12:00:00,1591623680
2021-04-14 00:00:00,1726251008
2021-04-14 12:00:00,1352204288
2021-04-15 00:00:00,
2021-04-15 12:00:00,1251459072
2021-04-16 00:00:00,710742016
2021-04-16 12:00:00,3785281536
