"Time","Value"
2020-11-28 11:00:00,
2020-11-28 23:00:00,
2020-11-29 11:00:00,987136
2020-11-29 23:00:00,2603589632
2020-11-30 11:00:00,3118145536
2020-11-30 23:00:00,3070722048
2020-12-01 11:00:00,2089426944
2020-12-01 23:00:00,5179342848
2020-12-02 11:00:00,1582022656
2020-12-02 23:00:00,3063283712
2020-12-03 11:00:00,4228493312
2020-12-03 23:00:00,8054915072
2020-12-04 11:00:00,1203281920
2020-12-04 23:00:00,2272600064
2020-12-05 11:00:00,201334784
2020-12-05 23:00:00,1631121408
2020-12-06 11:00:00,736546816
2020-12-06 23:00:00,1883541504
2020-12-07 11:00:00,1184600064
2020-12-07 23:00:00,11032342528
2020-12-08 11:00:00,663683072
2020-12-08 23:00:00,4435337216
2020-12-09 11:00:00,1034625024
2020-12-09 23:00:00,6490124288
2020-12-10 11:00:00,1006723072
2020-12-10 23:00:00,1533976576
2020-12-11 11:00:00,
2020-12-11 23:00:00,2764161024
2020-12-12 11:00:00,802971648
2020-12-12 23:00:00,1201516544
2020-12-13 11:00:00,1282048000
2020-12-13 23:00:00,4289863680
2020-12-14 11:00:00,1839898624
2020-12-14 23:00:00,9282973696
2020-12-15 11:00:00,14107336704
2020-12-15 23:00:00,
2020-12-16 11:00:00,
2020-12-16 23:00:00,
2020-12-17 11:00:00,
2020-12-17 23:00:00,198754304
2020-12-18 11:00:00,
2020-12-18 23:00:00,
2020-12-19 11:00:00,
2020-12-19 23:00:00,
2020-12-20 11:00:00,
2020-12-20 23:00:00,
2020-12-21 11:00:00,71897088
2020-12-21 23:00:00,
2020-12-22 11:00:00,458653696
2020-12-22 23:00:00,
2020-12-23 11:00:00,
2020-12-23 23:00:00,
2020-12-24 11:00:00,
2020-12-24 23:00:00,
2020-12-25 11:00:00,
2020-12-25 23:00:00,
2020-12-26 11:00:00,
2020-12-26 23:00:00,
2020-12-27 11:00:00,
2020-12-27 23:00:00,
2020-12-28 11:00:00,
2020-12-28 23:00:00,
2020-12-29 11:00:00,
2020-12-29 23:00:00,
2020-12-30 11:00:00,
2020-12-30 23:00:00,279764992
2020-12-31 11:00:00,
2020-12-31 23:00:00,
2021-01-01 11:00:00,
2021-01-01 23:00:00,
2021-01-02 11:00:00,
2021-01-02 23:00:00,
2021-01-03 11:00:00,
2021-01-03 23:00:00,274038784
2021-01-04 11:00:00,
2021-01-04 23:00:00,
2021-01-05 11:00:00,1556111360
2021-01-05 23:00:00,
2021-01-06 11:00:00,
2021-01-06 23:00:00,
2021-01-07 11:00:00,593215488
2021-01-07 23:00:00,
2021-01-08 11:00:00,
2021-01-08 23:00:00,
2021-01-09 11:00:00,
2021-01-09 23:00:00,
2021-01-10 11:00:00,
2021-01-10 23:00:00,
2021-01-11 11:00:00,980205568
2021-01-11 23:00:00,
2021-01-12 11:00:00,363798528
2021-01-12 23:00:00,
2021-01-13 11:00:00,
2021-01-13 23:00:00,
2021-01-14 11:00:00,
2021-01-14 23:00:00,
2021-01-15 11:00:00,868511744
2021-01-15 23:00:00,
2021-01-16 11:00:00,411025408
2021-01-16 23:00:00,
2021-01-17 11:00:00,
2021-01-17 23:00:00,
2021-01-18 11:00:00,
2021-01-18 23:00:00,
2021-01-19 11:00:00,
2021-01-19 23:00:00,4546088960
2021-01-20 11:00:00,2916327424
2021-01-20 23:00:00,14742290432
2021-01-21 11:00:00,23507636224
2021-01-21 23:00:00,1351204864
2021-01-22 11:00:00,728793088
2021-01-22 23:00:00,695427072
2021-01-23 11:00:00,606814208
2021-01-23 23:00:00,908894208
2021-01-24 11:00:00,383533056
2021-01-24 23:00:00,2758316032
2021-01-25 11:00:00,2649219072
2021-01-25 23:00:00,11713814528
2021-01-26 11:00:00,21945507840
2021-01-26 23:00:00,9477332992
2021-01-27 11:00:00,9310085120
2021-01-27 23:00:00,26061479936
2021-01-28 11:00:00,28894359552
2021-01-28 23:00:00,8351035392
2021-01-29 11:00:00,6134898688
2021-01-29 23:00:00,4051787776
2021-01-30 11:00:00,8087732224
2021-01-30 23:00:00,10344849408
2021-01-31 11:00:00,7692222464
2021-01-31 23:00:00,28719480832
2021-02-01 11:00:00,4068294656
2021-02-01 23:00:00,14178062336
2021-02-02 11:00:00,17578426368
2021-02-02 23:00:00,13762879488
2021-02-03 11:00:00,9896292352
2021-02-03 23:00:00,32491237376
2021-02-04 11:00:00,27569741824
2021-02-04 23:00:00,29038587904
2021-02-05 11:00:00,8067633152
2021-02-05 23:00:00,12535808000
2021-02-06 11:00:00,5889794048
2021-02-06 23:00:00,12319551488
2021-02-07 11:00:00,9083363328
2021-02-07 23:00:00,21605789696
2021-02-08 11:00:00,3153281024
2021-02-08 23:00:00,10620542976
2021-02-09 11:00:00,16832270336
2021-02-09 23:00:00,10708402176
2021-02-10 11:00:00,7634726912
2021-02-10 23:00:00,22834528256
2021-02-11 11:00:00,35929624576
2021-02-11 23:00:00,11471724544
2021-02-12 11:00:00,3935100928
2021-02-12 23:00:00,7185285120
2021-02-13 11:00:00,2863509504
2021-02-13 23:00:00,14832287744
2021-02-14 11:00:00,9801379840
2021-02-14 23:00:00,46343389184
2021-02-15 11:00:00,6031298560
2021-02-15 23:00:00,15077748736
2021-02-16 11:00:00,17141264384
2021-02-16 23:00:00,12458745856
2021-02-17 11:00:00,4608061440
2021-02-17 23:00:00,46801547264
2021-02-18 11:00:00,41645740032
2021-02-18 23:00:00,31052722176
2021-02-19 11:00:00,19526082560
2021-02-19 23:00:00,25724928000
2021-02-20 11:00:00,6687547392
2021-02-20 23:00:00,18983788544
2021-02-21 11:00:00,6401273856
2021-02-21 23:00:00,33761259520
2021-02-22 11:00:00,6329581568
2021-02-22 23:00:00,23991021568
2021-02-23 11:00:00,13625573376
2021-02-23 23:00:00,3666415616
2021-02-24 11:00:00,2435059712
2021-02-24 23:00:00,5277851648
2021-02-25 11:00:00,1967984640
2021-02-25 23:00:00,1819176960
2021-02-26 11:00:00,2391080960
2021-02-26 23:00:00,2013691904
2021-02-27 11:00:00,797974528
2021-02-27 23:00:00,4357521408
2021-02-28 11:00:00,2570846208
2021-02-28 23:00:00,9638199296
2021-03-01 11:00:00,7942762496
2021-03-01 23:00:00,18137513984
2021-03-02 11:00:00,49377722368
2021-03-02 23:00:00,219873280
2021-03-03 11:00:00,978272256
2021-03-03 23:00:00,14578364416
2021-03-04 11:00:00,10755248128
2021-03-04 23:00:00,9027866624
2021-03-05 11:00:00,6253854720
2021-03-05 23:00:00,11762933760
2021-03-06 11:00:00,3874676736
2021-03-06 23:00:00,15786086400
2021-03-07 11:00:00,14954483712
2021-03-07 23:00:00,62820712448
2021-03-08 11:00:00,6417690624
2021-03-08 23:00:00,14579437568
