"Time","Value"
2020-11-28 11:00:00,4631592960
2020-11-28 23:00:00,8088453120
2020-11-29 11:00:00,3665272832
2020-11-29 23:00:00,10186784768
2020-11-30 11:00:00,60904300544
2020-11-30 23:00:00,23963512832
2020-12-01 11:00:00,39053893632
2020-12-01 23:00:00,35476398080
2020-12-02 11:00:00,35413311488
2020-12-02 23:00:00,37512224768
2020-12-03 11:00:00,41447575552
2020-12-03 23:00:00,54435811328
2020-12-04 11:00:00,56089366528
2020-12-04 23:00:00,110099660800
2020-12-05 11:00:00,8191107072
2020-12-05 23:00:00,3573088256
2020-12-06 11:00:00,3198115840
2020-12-06 23:00:00,2161385472
2020-12-07 11:00:00,3666788352
2020-12-07 23:00:00,24770416640
2020-12-08 11:00:00,2783068160
2020-12-08 23:00:00,4293804032
2020-12-09 11:00:00,5070213120
2020-12-09 23:00:00,2882068480
2020-12-10 11:00:00,802439168
2020-12-10 23:00:00,2595602432
2020-12-11 11:00:00,8293597184
2020-12-11 23:00:00,2227273728
2020-12-12 11:00:00,1267679232
2020-12-12 23:00:00,2229952512
2020-12-13 11:00:00,519593984
2020-12-13 23:00:00,2129461248
2020-12-14 11:00:00,541384704
2020-12-14 23:00:00,3429441536
2020-12-15 11:00:00,1781415936
2020-12-15 23:00:00,4040278016
2020-12-16 11:00:00,500178944
2020-12-16 23:00:00,718274560
2020-12-17 11:00:00,461332480
2020-12-17 23:00:00,3058147328
2020-12-18 11:00:00,746618880
2020-12-18 23:00:00,
2020-12-19 11:00:00,
2020-12-19 23:00:00,
2020-12-20 11:00:00,
2020-12-20 23:00:00,1453703168
2020-12-21 11:00:00,246308864
2020-12-21 23:00:00,226492416
2020-12-22 11:00:00,
2020-12-22 23:00:00,
2020-12-23 11:00:00,
2020-12-23 23:00:00,307191808
2020-12-24 11:00:00,720994304
2020-12-24 23:00:00,592879616
2020-12-25 11:00:00,545497088
2020-12-25 23:00:00,
2020-12-26 11:00:00,
2020-12-26 23:00:00,318676992
2020-12-27 11:00:00,
2020-12-27 23:00:00,
2020-12-28 11:00:00,
2020-12-28 23:00:00,538763264
2020-12-29 11:00:00,302153728
2020-12-29 23:00:00,
2020-12-30 11:00:00,
2020-12-30 23:00:00,771645440
2020-12-31 11:00:00,
2020-12-31 23:00:00,
2021-01-01 11:00:00,
2021-01-01 23:00:00,233324544
2021-01-02 11:00:00,507559936
2021-01-02 23:00:00,388521984
2021-01-03 11:00:00,559702016
2021-01-03 23:00:00,
2021-01-04 11:00:00,
2021-01-04 23:00:00,634404864
2021-01-05 11:00:00,337698816
2021-01-05 23:00:00,785416192
2021-01-06 11:00:00,336904192
2021-01-06 23:00:00,
2021-01-07 11:00:00,434200576
2021-01-07 23:00:00,150372352
2021-01-08 11:00:00,
2021-01-08 23:00:00,
2021-01-09 11:00:00,
2021-01-09 23:00:00,233046016
2021-01-10 11:00:00,
2021-01-10 23:00:00,
2021-01-11 11:00:00,
2021-01-11 23:00:00,257646592
2021-01-12 11:00:00,1311211520
2021-01-12 23:00:00,184786944
2021-01-13 11:00:00,
2021-01-13 23:00:00,436445184
2021-01-14 11:00:00,1016111104
2021-01-14 23:00:00,281133056
2021-01-15 11:00:00,
2021-01-15 23:00:00,
2021-01-16 11:00:00,
2021-01-16 23:00:00,
2021-01-17 11:00:00,
2021-01-17 23:00:00,
2021-01-18 11:00:00,321282048
2021-01-18 23:00:00,
2021-01-19 11:00:00,
2021-01-19 23:00:00,3606200320
2021-01-20 11:00:00,
2021-01-20 23:00:00,688267264
2021-01-21 11:00:00,1138532352
2021-01-21 23:00:00,526352384
2021-01-22 11:00:00,
2021-01-22 23:00:00,3869442048
2021-01-23 11:00:00,1620557824
2021-01-23 23:00:00,3441123328
2021-01-24 11:00:00,1228087296
