"Time","Value"
2020-11-28 11:00:00,7875239936
2020-11-28 23:00:00,9146433536
2020-11-29 11:00:00,20605190144
2020-11-29 23:00:00,31070396416
2020-11-30 11:00:00,66651635712
2020-11-30 23:00:00,27425951744
2020-12-01 11:00:00,30798626816
2020-12-01 23:00:00,27885809664
2020-12-02 11:00:00,64477921280
2020-12-02 23:00:00,38864334848
2020-12-03 11:00:00,34575679488
2020-12-03 23:00:00,46000848896
2020-12-04 11:00:00,29129895936
2020-12-04 23:00:00,28100890624
2020-12-05 11:00:00,14631088128
2020-12-05 23:00:00,14917652480
2020-12-06 11:00:00,11248013312
2020-12-06 23:00:00,24064032768
2020-12-07 11:00:00,31965356032
2020-12-07 23:00:00,24687079424
2020-12-08 11:00:00,22862135296
2020-12-08 23:00:00,12556316672
2020-12-09 11:00:00,24211210240
2020-12-09 23:00:00,16970969088
2020-12-10 11:00:00,19637817344
2020-12-10 23:00:00,22617686016
2020-12-11 11:00:00,24938606592
2020-12-11 23:00:00,17659420672
2020-12-12 11:00:00,10042945536
2020-12-12 23:00:00,20862726144
2020-12-13 11:00:00,19514253312
2020-12-13 23:00:00,38498922496
2020-12-14 11:00:00,29805072384
2020-12-14 23:00:00,60995301376
2020-12-15 11:00:00,10335281152
2020-12-15 23:00:00,7943155712
2020-12-16 11:00:00,11032551424
2020-12-16 23:00:00,8032718848
2020-12-17 11:00:00,3137003520
2020-12-17 23:00:00,4001726464
2020-12-18 11:00:00,10572865536
2020-12-18 23:00:00,3652993024
2020-12-19 11:00:00,2676580352
2020-12-19 23:00:00,1486405632
2020-12-20 11:00:00,2173030400
2020-12-20 23:00:00,2041040896
2020-12-21 11:00:00,6552252416
2020-12-21 23:00:00,2386182144
2020-12-22 11:00:00,2373296128
2020-12-22 23:00:00,565575680
2020-12-23 11:00:00,3560468480
2020-12-23 23:00:00,185065472
2020-12-24 11:00:00,
2020-12-24 23:00:00,763314176
2020-12-25 11:00:00,376643584
2020-12-25 23:00:00,549126144
2020-12-26 11:00:00,781524992
2020-12-26 23:00:00,3044659200
2020-12-27 11:00:00,2724864000
2020-12-27 23:00:00,3672571904
2020-12-28 11:00:00,565927936
2020-12-28 23:00:00,2638962688
2020-12-29 11:00:00,4581343232
2020-12-29 23:00:00,3200098304
2020-12-30 11:00:00,3375972352
2020-12-30 23:00:00,3947851776
2020-12-31 11:00:00,4029161472
2020-12-31 23:00:00,615759872
2021-01-01 11:00:00,2587344896
2021-01-01 23:00:00,2199224320
2021-01-02 11:00:00,3887443968
2021-01-02 23:00:00,1370238976
2021-01-03 11:00:00,2322341888
2021-01-03 23:00:00,2911043584
2021-01-04 11:00:00,3471048704
2021-01-04 23:00:00,5486243840
2021-01-05 11:00:00,1771069440
2021-01-05 23:00:00,4174131200
2021-01-06 11:00:00,3559735296
2021-01-06 23:00:00,5946933248
2021-01-07 11:00:00,2907471872
2021-01-07 23:00:00,4991451136
2021-01-08 11:00:00,5456240640
2021-01-08 23:00:00,6740140032
2021-01-09 11:00:00,3294879744
2021-01-09 23:00:00,5446758400
2021-01-10 11:00:00,7665995776
2021-01-10 23:00:00,9831264256
2021-01-11 11:00:00,4019363840
2021-01-11 23:00:00,13039837184
2021-01-12 11:00:00,8558395392
2021-01-12 23:00:00,9781391360
2021-01-13 11:00:00,4754046976
2021-01-13 23:00:00,8892940288
2021-01-14 11:00:00,5936463872
2021-01-14 23:00:00,3739262976
2021-01-15 11:00:00,7295795200
2021-01-15 23:00:00,5140312064
2021-01-16 11:00:00,9511538688
2021-01-16 23:00:00,2183217152
2021-01-17 11:00:00,6427410432
2021-01-17 23:00:00,6201647104
2021-01-18 11:00:00,10450345984
2021-01-18 23:00:00,8295800832
2021-01-19 11:00:00,7973216256
2021-01-19 23:00:00,11392540672
2021-01-20 11:00:00,26056359936
2021-01-20 23:00:00,16895340544
2021-01-21 11:00:00,17018716160
2021-01-21 23:00:00,17352257536
2021-01-22 11:00:00,56017149952
2021-01-22 23:00:00,15119872000
2021-01-23 11:00:00,14973825024
2021-01-23 23:00:00,12325052416
2021-01-24 11:00:00,14707859456
2021-01-24 23:00:00,23134568448
