"Time","Value"
2020-10-13 23:00:00,429465600
2020-10-14 05:00:00,429465600
2020-10-14 11:00:00,429465600
2020-10-14 17:00:00,429522944
2020-10-14 23:00:00,429162496
2020-10-15 05:00:00,429162496
2020-10-15 11:00:00,429162496
2020-10-15 17:00:00,429973504
2020-10-15 23:00:00,527540224
2020-10-16 05:00:00,526639104
2020-10-16 11:00:00,526909440
2020-10-16 17:00:00,527179776
2020-10-16 23:00:00,527179776
2020-10-17 05:00:00,527179776
2020-10-17 11:00:00,527179776
2020-10-17 17:00:00,527360000
2020-10-17 23:00:00,527360000
2020-10-18 05:00:00,344207360
2020-10-18 11:00:00,347680768
2020-10-18 17:00:00,353906688
2020-10-18 23:00:00,352202752
2020-10-19 05:00:00,357093376
2020-10-19 11:00:00,356610048
2020-10-19 17:00:00,353128448
2020-10-19 23:00:00,378499072
2020-10-20 05:00:00,378777600
2020-10-20 11:00:00,375877632
2020-10-20 17:00:00,377704448
2020-10-20 23:00:00,381538304
2020-10-21 05:00:00,352727040
2020-10-21 11:00:00,362598400
2020-10-21 17:00:00,364998656
2020-10-21 23:00:00,368791552
2020-10-22 05:00:00,339632128
2020-10-22 11:00:00,346103808
2020-10-22 17:00:00,369336320
2020-10-22 23:00:00,365862912
2020-10-23 05:00:00,376299520
2020-10-23 11:00:00,373161984
2020-10-23 17:00:00,378052608
2020-10-23 23:00:00,378568704
2020-10-24 05:00:00,376963072
2020-10-24 11:00:00,376471552
2020-10-24 17:00:00,383533056
2020-10-24 23:00:00,381870080
2020-10-25 05:00:00,380223488
2020-10-25 11:00:00,389111808
2020-10-25 17:00:00,387334144
2020-10-25 23:00:00,395124736
2020-10-26 05:00:00,399736832
2020-10-26 11:00:00,408190976
2020-10-26 17:00:00,439189504
2020-10-26 23:00:00,440729600
2020-10-27 05:00:00,346492928
2020-10-27 11:00:00,361345024
2020-10-27 17:00:00,368594944
2020-10-27 23:00:00,369446912
2020-10-28 05:00:00,376844288
2020-10-28 11:00:00,375377920
2020-10-28 17:00:00,377204736
2020-10-28 23:00:00,377106432
2020-10-29 05:00:00,381374464
2020-10-29 11:00:00,379219968
2020-10-29 17:00:00,383234048
2020-10-29 23:00:00,386674688
2020-10-30 05:00:00,334757888
2020-10-30 11:00:00,382713856
2020-10-30 17:00:00,446849024
2020-10-30 23:00:00,479019008
2020-10-31 05:00:00,505110528
2020-10-31 11:00:00,527597568
2020-10-31 17:00:00,586317824
2020-10-31 23:00:00,652853248
2020-11-01 04:00:00,674816000
2020-11-01 10:00:00,683352064
2020-11-01 16:00:00,734879744
2020-11-01 22:00:00,823754752
2020-11-02 04:00:00,866279424
2020-11-02 10:00:00,946135040
2020-11-02 16:00:00,1222688768
2020-11-02 22:00:00,1508990976
2020-11-03 04:00:00,1595441152
2020-11-03 10:00:00,1600520192
2020-11-03 16:00:00,1629175808
2020-11-03 22:00:00,1684054016
2020-11-04 04:00:00,1717305344
2020-11-04 10:00:00,1730011136
2020-11-04 16:00:00,1797324800
2020-11-04 22:00:00,1870807040
2020-11-05 04:00:00,1891999744
2020-11-05 10:00:00,1909301248
2020-11-05 16:00:00,1988550656
2020-11-05 22:00:00,2061746176
2020-11-06 04:00:00,2113822720
2020-11-06 10:00:00,2151137280
2020-11-06 16:00:00,2262409216
2020-11-06 22:00:00,546365440
2020-11-07 04:00:00,592715776
2020-11-07 10:00:00,595148800
2020-11-07 16:00:00,610557952
2020-11-07 22:00:00,659759104
2020-11-08 04:00:00,693919744
2020-11-08 10:00:00,715448320
2020-11-08 16:00:00,778706944
2020-11-08 22:00:00,881975296
2020-11-09 04:00:00,959291392
2020-11-09 10:00:00,1030119424
2020-11-09 16:00:00,1357316096
2020-11-09 22:00:00,1755889664
2020-11-10 04:00:00,1879212032
2020-11-10 10:00:00,1905164288
