"Time","Value"
2020-10-14 00:00:00,0.017
2020-10-14 06:00:00,0.0079
2020-10-14 12:00:00,0.016
2020-10-14 18:00:00,0.023
2020-10-15 00:00:00,0.021
2020-10-15 06:00:00,0.0064
2020-10-15 12:00:00,0.017
2020-10-15 18:00:00,0.019
2020-10-16 00:00:00,0.021
2020-10-16 06:00:00,0.0085
2020-10-16 12:00:00,0.011
2020-10-16 18:00:00,0.022
2020-10-17 00:00:00,0.014
2020-10-17 06:00:00,0.0061
2020-10-17 12:00:00,0.014
2020-10-17 18:00:00,0.011
2020-10-18 00:00:00,0.013
2020-10-18 06:00:00,0.0068
2020-10-18 12:00:00,0.0065
2020-10-18 18:00:00,0.0081
2020-10-19 00:00:00,0.0082
2020-10-19 06:00:00,0.0060
2020-10-19 12:00:00,0.0086
2020-10-19 18:00:00,0.0079
2020-10-20 00:00:00,0.011
2020-10-20 06:00:00,0.0074
2020-10-20 12:00:00,0.011
2020-10-20 18:00:00,0.0077
2020-10-21 00:00:00,0.0061
2020-10-21 06:00:00,0.0055
2020-10-21 12:00:00,0.0065
2020-10-21 18:00:00,0.0085
2020-10-22 00:00:00,0.0063
2020-10-22 06:00:00,0.0049
2020-10-22 12:00:00,0.0056
2020-10-22 18:00:00,0.0055
2020-10-23 00:00:00,0.0053
2020-10-23 06:00:00,0.0052
2020-10-23 12:00:00,0.0057
2020-10-23 18:00:00,0.0055
2020-10-24 00:00:00,0.0055
2020-10-24 06:00:00,0.0048
2020-10-24 12:00:00,0.0057
2020-10-24 18:00:00,0.0057
2020-10-25 00:00:00,0.0055
2020-10-25 06:00:00,0.0048
2020-10-25 12:00:00,0.0052
2020-10-25 18:00:00,0.0083
2020-10-26 00:00:00,0.0085
2020-10-26 06:00:00,0.0069
2020-10-26 12:00:00,0.014
2020-10-26 18:00:00,0.011
2020-10-27 00:00:00,0.013
2020-10-27 06:00:00,0.0071
2020-10-27 12:00:00,0.0100
2020-10-27 18:00:00,0.020
2020-10-28 00:00:00,0.015
2020-10-28 06:00:00,0.0066
2020-10-28 12:00:00,0.010
2020-10-28 18:00:00,0.020
2020-10-29 00:00:00,0.013
2020-10-29 06:00:00,0.0098
2020-10-29 12:00:00,0.011
2020-10-29 18:00:00,0.0095
2020-10-30 00:00:00,0.0073
2020-10-30 06:00:00,0.0053
2020-10-30 12:00:00,0.0096
2020-10-30 18:00:00,0.0076
2020-10-31 00:00:00,0.0069
2020-10-31 06:00:00,0.0062
2020-10-31 12:00:00,0.0065
2020-10-31 18:00:00,0.0095
2020-11-01 00:00:00,0.0096
2020-11-01 05:00:00,0.011
2020-11-01 11:00:00,0.013
2020-11-01 17:00:00,0.014
2020-11-01 23:00:00,0.015
2020-11-02 05:00:00,0.013
2020-11-02 11:00:00,0.024
2020-11-02 17:00:00,0.024
2020-11-02 23:00:00,0.023
2020-11-03 05:00:00,0.019
2020-11-03 11:00:00,0.025
2020-11-03 17:00:00,0.028
2020-11-03 23:00:00,0.025
2020-11-04 05:00:00,0.021
2020-11-04 11:00:00,0.025
2020-11-04 17:00:00,0.034
2020-11-04 23:00:00,0.035
2020-11-05 05:00:00,0.030
2020-11-05 11:00:00,0.031
2020-11-05 17:00:00,0.046
2020-11-05 23:00:00,0.046
2020-11-06 05:00:00,0.035
2020-11-06 11:00:00,0.035
2020-11-06 17:00:00,0.040
2020-11-06 23:00:00,0.018
2020-11-07 05:00:00,0.0074
2020-11-07 11:00:00,0.011
2020-11-07 17:00:00,0.011
2020-11-07 23:00:00,0.0098
2020-11-08 05:00:00,0.0083
2020-11-08 11:00:00,0.0082
2020-11-08 17:00:00,0.011
2020-11-08 23:00:00,0.018
2020-11-09 05:00:00,0.016
2020-11-09 11:00:00,0.026
2020-11-09 17:00:00,0.031
2020-11-09 23:00:00,0.039
2020-11-10 05:00:00,0.033
2020-11-10 11:00:00,0.040
2020-11-10 17:00:00,0.042
2020-11-10 23:00:00,0.048
2020-11-11 05:00:00,0.042
2020-11-11 11:00:00,0.047
2020-11-11 17:00:00,0.052
2020-11-11 23:00:00,0.053
2020-11-12 05:00:00,0.051
2020-11-12 11:00:00,0.062
2020-11-12 17:00:00,0.082
2020-11-12 23:00:00,0.087
2020-11-13 05:00:00,0.0061
2020-11-13 11:00:00,0.0080
2020-11-13 17:00:00,0.011
2020-11-13 23:00:00,0.0094
2020-11-14 05:00:00,0.0079
2020-11-14 11:00:00,0.0085
2020-11-14 17:00:00,0.0092
2020-11-14 23:00:00,0.012
2020-11-15 05:00:00,0.0094
2020-11-15 11:00:00,0.0095
2020-11-15 17:00:00,0.017
2020-11-15 23:00:00,0.018
2020-11-16 05:00:00,0.015
2020-11-16 11:00:00,0.031
2020-11-16 17:00:00,0.045
2020-11-16 23:00:00,0.028
2020-11-17 05:00:00,0.024
2020-11-17 11:00:00,0.027
2020-11-17 17:00:00,0.0091
2020-11-17 23:00:00,0.0099
2020-11-18 05:00:00,0.0071
2020-11-18 11:00:00,0.013
2020-11-18 17:00:00,0.015
2020-11-18 23:00:00,0.017
2020-11-19 05:00:00,
2020-11-19 11:00:00,
2020-11-19 17:00:00,
2020-11-19 23:00:00,
2020-11-20 05:00:00,
2020-11-20 11:00:00,
2020-11-20 17:00:00,
2020-11-20 23:00:00,
2020-11-21 05:00:00,
2020-11-21 11:00:00,
2020-11-21 17:00:00,
2020-11-21 23:00:00,
2020-11-22 05:00:00,
2020-11-22 11:00:00,
2020-11-22 17:00:00,
2020-11-22 23:00:00,0.019
2020-11-23 05:00:00,0.014
2020-11-23 11:00:00,0.015
2020-11-23 17:00:00,0.0089
2020-11-23 23:00:00,0.0068
2020-11-24 05:00:00,0.0062
2020-11-24 11:00:00,0.0062
2020-11-24 17:00:00,0.0080
2020-11-24 23:00:00,0.0087
2020-11-25 05:00:00,0.0077
2020-11-25 11:00:00,0.0076
2020-11-25 17:00:00,0.0084
2020-11-25 23:00:00,0.0091
2020-11-26 05:00:00,0.011
2020-11-26 11:00:00,0.011
2020-11-26 17:00:00,0.0088
2020-11-26 23:00:00,0.0099
2020-11-27 05:00:00,0.0098
2020-11-27 11:00:00,0.0099
2020-11-27 17:00:00,0.0096
2020-11-27 23:00:00,0.012
2020-11-28 05:00:00,0.010
2020-11-28 11:00:00,0.0099
2020-11-28 17:00:00,0.010
2020-11-28 23:00:00,0.010
2020-11-29 05:00:00,0.011
2020-11-29 11:00:00,0.012
2020-11-29 17:00:00,0.020
2020-11-29 23:00:00,0.035
2020-11-30 05:00:00,0.027
