"Time","Value"
2020-10-13 23:00:00,618790912
2020-10-14 05:00:00,620675072
2020-10-14 11:00:00,670482432
2020-10-14 17:00:00,697106432
2020-10-14 23:00:00,696426496
2020-10-15 05:00:00,697638912
2020-10-15 11:00:00,699310080
2020-10-15 17:00:00,699416576
2020-10-15 23:00:00,700137472
2020-10-16 05:00:00,698523648
2020-10-16 11:00:00,698368000
2020-10-16 17:00:00,697565184
2020-10-16 23:00:00,811720704
2020-10-17 05:00:00,805257216
2020-10-17 11:00:00,805896192
2020-10-17 17:00:00,805863424
2020-10-17 23:00:00,806830080
2020-10-18 05:00:00,462422016
2020-10-18 11:00:00,547782656
2020-10-18 17:00:00,794869760
2020-10-18 23:00:00,735813632
2020-10-19 05:00:00,741072896
2020-10-19 11:00:00,736763904
2020-10-19 17:00:00,532545536
2020-10-19 23:00:00,535961600
2020-10-20 05:00:00,536010752
2020-10-20 11:00:00,538050560
2020-10-20 17:00:00,541581312
2020-10-20 23:00:00,448954368
2020-10-21 05:00:00,493387776
2020-10-21 11:00:00,482861056
2020-10-21 17:00:00,589045760
2020-10-21 23:00:00,597204992
2020-10-22 05:00:00,413073408
2020-10-22 11:00:00,462397440
2020-10-22 17:00:00,540860416
2020-10-22 23:00:00,541556736
2020-10-23 05:00:00,541220864
2020-10-23 11:00:00,539181056
2020-10-23 17:00:00,577404928
2020-10-23 23:00:00,581156864
2020-10-24 05:00:00,577650688
2020-10-24 11:00:00,579198976
2020-10-24 17:00:00,595435520
2020-10-24 23:00:00,598581248
2020-10-25 05:00:00,596967424
2020-10-25 11:00:00,598474752
2020-10-25 17:00:00,598810624
2020-10-25 23:00:00,598982656
2020-10-26 05:00:00,599023616
2020-10-26 11:00:00,599621632
2020-10-26 17:00:00,621494272
2020-10-26 23:00:00,629809152
2020-10-27 05:00:00,430194688
2020-10-27 11:00:00,452894720
2020-10-27 17:00:00,521469952
2020-10-27 23:00:00,533889024
2020-10-28 05:00:00,570925056
2020-10-28 11:00:00,571957248
2020-10-28 17:00:00,638459904
2020-10-28 23:00:00,648372224
2020-10-29 05:00:00,646823936
2020-10-29 11:00:00,646299648
2020-10-29 17:00:00,649494528
2020-10-29 23:00:00,649224192
2020-10-30 05:00:00,424906752
2020-10-30 11:00:00,643878912
2020-10-30 17:00:00,1069895680
2020-10-30 23:00:00,1337757696
2020-10-31 05:00:00,1383272448
2020-10-31 11:00:00,1421922304
2020-10-31 17:00:00,1555206144
2020-10-31 23:00:00,1637445632
2020-11-01 04:00:00,1696608256
2020-11-01 10:00:00,1736552448
2020-11-01 16:00:00,1880715264
2020-11-01 22:00:00,2053672960
2020-11-02 04:00:00,2147962880
2020-11-02 10:00:00,2266501120
2020-11-02 16:00:00,2748510208
2020-11-02 22:00:00,2919444480
2020-11-03 04:00:00,3012341760
2020-11-03 10:00:00,3072667648
2020-11-03 16:00:00,3328167936
2020-11-03 22:00:00,3510775808
2020-11-04 04:00:00,3624775680
2020-11-04 10:00:00,3720892416
2020-11-04 16:00:00,649478144
2020-11-04 22:00:00,1157750784
2020-11-05 04:00:00,1289789440
2020-11-05 10:00:00,1438228480
2020-11-05 16:00:00,2051686400
2020-11-05 22:00:00,2531041280
2020-11-06 04:00:00,2717360128
2020-11-06 10:00:00,2881757184
2020-11-06 16:00:00,3467673600
2020-11-06 22:00:00,753623040
2020-11-07 04:00:00,868376576
2020-11-07 10:00:00,904364032
2020-11-07 16:00:00,1037877248
2020-11-07 22:00:00,1154908160
2020-11-08 04:00:00,1207459840
2020-11-08 10:00:00,1251860480
2020-11-08 16:00:00,1412325376
