"Time","Value"
2020-10-13 23:00:00,282025984
2020-10-14 05:00:00,282025984
2020-10-14 11:00:00,282025984
2020-10-14 17:00:00,282075136
2020-10-14 23:00:00,282812416
2020-10-15 05:00:00,282812416
2020-10-15 11:00:00,248127488
2020-10-15 17:00:00,255959040
2020-10-15 23:00:00,260472832
2020-10-16 05:00:00,260915200
2020-10-16 11:00:00,260489216
2020-10-16 17:00:00,262684672
2020-10-16 23:00:00,263766016
2020-10-17 05:00:00,264060928
2020-10-17 11:00:00,264175616
2020-10-17 17:00:00,264077312
2020-10-17 23:00:00,264224768
2020-10-18 05:00:00,231546880
2020-10-18 11:00:00,231276544
2020-10-18 17:00:00,232882176
2020-10-18 23:00:00,233603072
2020-10-19 05:00:00,233488384
2020-10-19 11:00:00,246947840
2020-10-19 17:00:00,253689856
2020-10-19 23:00:00,254287872
2020-10-20 05:00:00,253919232
2020-10-20 11:00:00,254091264
2020-10-20 17:00:00,255164416
2020-10-20 23:00:00,259104768
2020-10-21 05:00:00,242958336
2020-10-21 11:00:00,252329984
2020-10-21 17:00:00,257851392
2020-10-21 23:00:00,258310144
2020-10-22 05:00:00,239386624
2020-10-22 11:00:00,253075456
2020-10-22 17:00:00,257351680
2020-10-22 23:00:00,258875392
2020-10-23 05:00:00,258482176
2020-10-23 11:00:00,259407872
2020-10-23 17:00:00,261505024
2020-10-23 23:00:00,261955584
2020-10-24 05:00:00,261373952
2020-10-24 11:00:00,262512640
2020-10-24 17:00:00,262529024
2020-10-24 23:00:00,262529024
2020-10-25 05:00:00,262709248
2020-10-25 11:00:00,262930432
2020-10-25 17:00:00,262823936
2020-10-25 23:00:00,262725632
2020-10-26 05:00:00,262774784
2020-10-26 11:00:00,262619136
2020-10-26 17:00:00,269697024
2020-10-26 23:00:00,269647872
2020-10-27 05:00:00,236306432
2020-10-27 11:00:00,250101760
2020-10-27 17:00:00,258048000
2020-10-27 23:00:00,265519104
2020-10-28 05:00:00,266330112
2020-10-28 11:00:00,267681792
2020-10-28 17:00:00,267952128
2020-10-28 23:00:00,267952128
2020-10-29 05:00:00,268042240
2020-10-29 11:00:00,268230656
2020-10-29 17:00:00,269631488
2020-10-29 23:00:00,273440768
2020-10-30 05:00:00,230391808
2020-10-30 11:00:00,314884096
2020-10-30 17:00:00,430194688
2020-10-30 23:00:00,490029056
2020-10-31 05:00:00,497401856
2020-10-31 11:00:00,496222208
2020-10-31 17:00:00,533446656
2020-10-31 23:00:00,560734208
2020-11-01 04:00:00,586661888
2020-11-01 10:00:00,599031808
2020-11-01 16:00:00,639090688
2020-11-01 22:00:00,759717888
2020-11-02 04:00:00,287338496
2020-11-02 10:00:00,291876864
2020-11-02 16:00:00,311431168
2020-11-02 22:00:00,343519232
2020-11-03 04:00:00,350449664
2020-11-03 10:00:00,352342016
2020-11-03 16:00:00,406302720
2020-11-03 22:00:00,445599744
2020-11-04 04:00:00,455241728
2020-11-04 10:00:00,473640960
2020-11-04 16:00:00,520941568
2020-11-04 22:00:00,614191104
2020-11-05 04:00:00,628232192
2020-11-05 10:00:00,647229440
2020-11-05 16:00:00,684634112
2020-11-05 22:00:00,708161536
2020-11-06 04:00:00,717156352
2020-11-06 10:00:00,748048384
2020-11-06 16:00:00,783036416
2020-11-06 22:00:00,251801600
2020-11-07 04:00:00,255401984
2020-11-07 10:00:00,261722112
2020-11-07 16:00:00,268673024
2020-11-07 22:00:00,281100288
2020-11-08 04:00:00,290930688
2020-11-08 10:00:00,291115008
2020-11-08 16:00:00,314343424
2020-11-08 22:00:00,363405312
2020-11-09 04:00:00,383967232
2020-11-09 10:00:00,385245184
2020-11-09 16:00:00,395755520
2020-11-09 22:00:00,430473216
2020-11-10 04:00:00,435470336
2020-11-10 10:00:00,437694464
2020-11-10 16:00:00,455778304
2020-11-10 22:00:00,458387456
2020-11-11 04:00:00,457539584
2020-11-11 10:00:00,467140608
2020-11-11 16:00:00,560283648
2020-11-11 22:00:00,586203136
2020-11-12 04:00:00,575868928
2020-11-12 10:00:00,569720832
2020-11-12 16:00:00,571285504
2020-11-12 22:00:00,582795264
2020-11-13 04:00:00,243929088
2020-11-13 10:00:00,244011008
2020-11-13 16:00:00,249147392
2020-11-13 22:00:00,273379328
2020-11-14 04:00:00,278097920
2020-11-14 10:00:00,280317952
2020-11-14 16:00:00,294604800
2020-11-14 22:00:00,313085952
2020-11-15 04:00:00,318681088
2020-11-15 10:00:00,318836736
2020-11-15 16:00:00,342110208
2020-11-15 22:00:00,380637184
2020-11-16 04:00:00,407769088
2020-11-16 10:00:00,526364672
2020-11-16 16:00:00,812486656
2020-11-16 22:00:00,978694144
2020-11-17 04:00:00,1029500928
2020-11-17 10:00:00,1145794560
2020-11-17 16:00:00,389292032
2020-11-17 22:00:00,633487360
2020-11-18 04:00:00,236822528
2020-11-18 10:00:00,354279424
2020-11-18 16:00:00,587849728
2020-11-18 22:00:00,729915392
2020-11-19 04:00:00,
2020-11-19 10:00:00,
2020-11-19 16:00:00,
2020-11-19 22:00:00,
2020-11-20 04:00:00,
2020-11-20 10:00:00,
2020-11-20 16:00:00,
2020-11-20 22:00:00,
2020-11-21 04:00:00,
2020-11-21 10:00:00,
2020-11-21 16:00:00,
2020-11-21 22:00:00,
2020-11-22 04:00:00,
2020-11-22 10:00:00,
2020-11-22 16:00:00,
2020-11-22 22:00:00,
2020-11-23 04:00:00,777867264
2020-11-23 10:00:00,777867264
2020-11-23 16:00:00,256225280
2020-11-23 22:00:00,281284608
2020-11-24 04:00:00,244137984
2020-11-24 10:00:00,249978880
2020-11-24 16:00:00,303104000
2020-11-24 22:00:00,307773440
2020-11-25 04:00:00,310591488
2020-11-25 10:00:00,324337664
2020-11-25 16:00:00,344555520
2020-11-25 22:00:00,348053504
2020-11-26 04:00:00,351895552
2020-11-26 10:00:00,352026624
2020-11-26 16:00:00,355368960
2020-11-26 22:00:00,357974016
2020-11-27 04:00:00,359251968
2020-11-27 10:00:00,359243776
2020-11-27 16:00:00,371810304
2020-11-27 22:00:00,382631936
2020-11-28 04:00:00,388530176
2020-11-28 10:00:00,390668288
2020-11-28 16:00:00,415801344
2020-11-28 22:00:00,420454400
2020-11-29 04:00:00,430907392
2020-11-29 10:00:00,431423488
2020-11-29 16:00:00,440033280
2020-11-29 22:00:00,448667648
2020-11-30 04:00:00,472891392
2020-11-30 10:00:00,609550336
2020-11-30 16:00:00,856883200
2020-11-30 22:00:00,961257472
2020-12-01 04:00:00,1218269184
2020-12-01 10:00:00,344805376
2020-12-01 16:00:00,479858688
2020-12-01 22:00:00,627224576
2020-12-02 04:00:00,662908928
2020-12-02 10:00:00,747417600
2020-12-02 16:00:00,940494848
2020-12-02 22:00:00,1044041728
2020-12-03 04:00:00,1089187840
2020-12-03 10:00:00,1177317376
2020-12-03 16:00:00,1374670848
2020-12-03 22:00:00,1546022912
2020-12-04 04:00:00,1621536768
2020-12-04 10:00:00,1717497856
2020-12-04 16:00:00,1889546240
2020-12-04 22:00:00,2235887616
2020-12-05 04:00:00,2306551808
2020-12-05 10:00:00,2306551808
2020-12-05 16:00:00,2308984832
2020-12-05 22:00:00,2322501632
2020-12-06 04:00:00,2322771968
2020-12-06 10:00:00,2322771968
2020-12-06 16:00:00,2335207424
2020-12-06 22:00:00,2340343808
2020-12-07 04:00:00,2347372544
2020-12-07 10:00:00,2352238592
2020-12-07 16:00:00,2380353536
2020-12-07 22:00:00,2420633600
2020-12-08 04:00:00,2457669632
2020-12-08 10:00:00,2461184000
2020-12-08 16:00:00,2473619456
2020-12-08 22:00:00,2481188864
2020-12-09 04:00:00,2488217600
2020-12-09 10:00:00,2497409024
2020-12-09 16:00:00,2516602880
2020-12-09 22:00:00,2525794304
2020-12-10 04:00:00,2532552704
2020-12-10 10:00:00,2539851776
2020-12-10 16:00:00,2542284800
2020-12-10 22:00:00,2556071936
2020-12-11 04:00:00,2556071936
2020-12-11 10:00:00,2560667648
2020-12-11 16:00:00,2572292096
2020-12-11 22:00:00,2586619904
2020-12-12 04:00:00,2586890240
2020-12-12 10:00:00,2586890240
2020-12-12 16:00:00,2593648640
2020-12-12 22:00:00,2601758720
2020-12-13 04:00:00,2608517120
2020-12-13 10:00:00,2608517120
2020-12-13 16:00:00,2611220480
2020-12-13 22:00:00,2611220480
2020-12-14 04:00:00,2617978880
2020-12-14 10:00:00,2617978880
2020-12-14 16:00:00,2625548288
2020-12-14 22:00:00,2630144000
2020-12-15 04:00:00,2636902400
2020-12-15 10:00:00,2639065088
2020-12-15 16:00:00,2642849792
2020-12-15 22:00:00,2661232640
2020-12-16 04:00:00,2663395328
2020-12-16 10:00:00,2666098688
2020-12-16 16:00:00,2667991040
2020-12-16 22:00:00,2677452800
2020-12-17 04:00:00,2682048512
2020-12-17 10:00:00,2682048512
2020-12-17 16:00:00,2691780608
2020-12-17 22:00:00,2703134720
2020-12-18 04:00:00,2733682688
2020-12-18 10:00:00,2743144448
2020-12-18 16:00:00,2745577472
2020-12-18 22:00:00,2745577472
2020-12-19 04:00:00,2745577472
2020-12-19 10:00:00,2747740160
2020-12-19 16:00:00,2748010496
2020-12-19 22:00:00,2752335872
2020-12-20 04:00:00,2754768896
2020-12-20 10:00:00,2754768896
2020-12-20 16:00:00,2756661248
2020-12-20 22:00:00,2759364608
2020-12-21 04:00:00,2761527296
2020-12-21 10:00:00,2761527296
2020-12-21 16:00:00,2768556032
2020-12-21 22:00:00,2782613504
2020-12-22 04:00:00,2784776192
2020-12-22 10:00:00,2784776192
2020-12-22 16:00:00,2786938880
2020-12-22 22:00:00,2789642240
2020-12-23 04:00:00,2789642240
2020-12-23 10:00:00,2789642240
2020-12-23 16:00:00,2792075264
2020-12-23 22:00:00,2796130304
2020-12-24 04:00:00,2798833664
2020-12-24 10:00:00,2800996352
2020-12-24 16:00:00,2801266688
2020-12-24 22:00:00,2801266688
2020-12-25 04:00:00,2803699712
2020-12-25 10:00:00,2803699712
2020-12-25 16:00:00,2805862400
2020-12-25 22:00:00,2808025088
2020-12-26 04:00:00,2812891136
2020-12-26 10:00:00,2812891136
2020-12-26 16:00:00,2815324160
2020-12-26 22:00:00,2819919872
2020-12-27 04:00:00,2819919872
2020-12-27 10:00:00,2820190208
2020-12-27 16:00:00,2822352896
2020-12-27 22:00:00,2822352896
2020-12-28 04:00:00,2824515584
2020-12-28 10:00:00,2824515584
2020-12-28 16:00:00,2831544320
2020-12-28 22:00:00,2831544320
2020-12-29 04:00:00,2838573056
2020-12-29 10:00:00,2838573056
2020-12-29 16:00:00,2838573056
2020-12-29 22:00:00,2838573056
2020-12-30 04:00:00,2838573056
2020-12-30 10:00:00,2838573056
2020-12-30 16:00:00,2841006080
2020-12-30 22:00:00,2847764480
2020-12-31 04:00:00,2848034816
2020-12-31 10:00:00,2848034816
2020-12-31 16:00:00,2850197504
2020-12-31 22:00:00,2850467840
2021-01-01 04:00:00,2852630528
2021-01-01 10:00:00,2852630528
2021-01-01 16:00:00,2852630528
2021-01-01 22:00:00,2854793216
2021-01-02 04:00:00,2854793216
2021-01-02 10:00:00,2854793216
2021-01-02 16:00:00,2857226240
2021-01-02 22:00:00,2857226240
2021-01-03 04:00:00,2857496576
2021-01-03 10:00:00,2857496576
2021-01-03 16:00:00,2863984640
2021-01-03 22:00:00,2864254976
2021-01-04 04:00:00,233172992
2021-01-04 10:00:00,230289408
2021-01-04 16:00:00,230944768
2021-01-04 22:00:00,247468032
2021-01-05 04:00:00,247623680
2021-01-05 10:00:00,250064896
2021-01-05 16:00:00,253128704
2021-01-05 22:00:00,252940288
2021-01-06 04:00:00,259985408
