"Time","Value"
2020-10-13 23:00:00,305467392
2020-10-14 05:00:00,305467392
2020-10-14 11:00:00,303476736
2020-10-14 17:00:00,303747072
2020-10-14 23:00:00,304017408
2020-10-15 05:00:00,304287744
2020-10-15 11:00:00,304558080
2020-10-15 17:00:00,304181248
2020-10-15 23:00:00,304181248
2020-10-16 05:00:00,304181248
2020-10-16 11:00:00,304181248
2020-10-16 17:00:00,305532928
2020-10-16 23:00:00,305532928
2020-10-17 05:00:00,305532928
2020-10-17 11:00:00,305803264
2020-10-17 17:00:00,305180672
2020-10-17 23:00:00,305180672
2020-10-18 05:00:00,267689984
2020-10-18 11:00:00,269099008
2020-10-18 17:00:00,278388736
2020-10-18 23:00:00,283787264
2020-10-19 05:00:00,284549120
2020-10-19 11:00:00,293838848
2020-10-19 17:00:00,314105856
2020-10-19 23:00:00,329908224
2020-10-20 05:00:00,328794112
2020-10-20 11:00:00,328794112
2020-10-20 17:00:00,328794112
2020-10-20 23:00:00,328794112
2020-10-21 05:00:00,261640192
2020-10-21 11:00:00,263442432
2020-10-21 17:00:00,267939840
2020-10-21 23:00:00,269012992
2020-10-22 05:00:00,262361088
2020-10-22 11:00:00,265973760
2020-10-22 17:00:00,268701696
2020-10-22 23:00:00,271896576
2020-10-23 05:00:00,270659584
2020-10-23 11:00:00,272732160
2020-10-23 17:00:00,274632704
2020-10-23 23:00:00,273485824
2020-10-24 05:00:00,276115456
2020-10-24 11:00:00,277901312
2020-10-24 17:00:00,278908928
2020-10-24 23:00:00,282734592
2020-10-25 05:00:00,283570176
2020-10-25 11:00:00,285298688
2020-10-25 17:00:00,289050624
2020-10-25 23:00:00,292974592
2020-10-26 05:00:00,295743488
2020-10-26 11:00:00,295882752
2020-10-26 17:00:00,296890368
2020-10-26 23:00:00,299053056
2020-10-27 05:00:00,269471744
2020-10-27 11:00:00,277811200
2020-10-27 17:00:00,293400576
2020-10-27 23:00:00,320327680
2020-10-28 05:00:00,319934464
2020-10-28 11:00:00,319868928
2020-10-28 17:00:00,320180224
2020-10-28 23:00:00,318623744
2020-10-29 05:00:00,320598016
2020-10-29 11:00:00,319320064
2020-10-29 17:00:00,319205376
2020-10-29 23:00:00,319262720
2020-10-30 05:00:00,257703936
2020-10-30 11:00:00,279281664
2020-10-30 17:00:00,289243136
2020-10-30 23:00:00,298631168
2020-10-31 05:00:00,299573248
2020-10-31 11:00:00,302104576
2020-10-31 17:00:00,319946752
2020-10-31 23:00:00,338272256
2020-11-01 04:00:00,346308608
2020-11-01 10:00:00,355205120
2020-11-01 16:00:00,400203776
2020-11-01 22:00:00,475848704
2020-11-02 04:00:00,515661824
2020-11-02 10:00:00,539557888
2020-11-02 16:00:00,666460160
2020-11-02 22:00:00,866754560
2020-11-03 04:00:00,926236672
2020-11-03 10:00:00,930439168
2020-11-03 16:00:00,985751552
2020-11-03 22:00:00,1023164416
2020-11-04 04:00:00,1050836992
2020-11-04 10:00:00,1063911424
2020-11-04 16:00:00,1143455744
2020-11-04 22:00:00,1268498432
2020-11-05 04:00:00,1300381696
2020-11-05 10:00:00,1300168704
2020-11-05 16:00:00,1306329088
2020-11-05 22:00:00,1312563200
2020-11-06 04:00:00,1320992768
2020-11-06 10:00:00,1320828928
2020-11-06 16:00:00,1328898048
2020-11-06 22:00:00,286470144
2020-11-07 04:00:00,299159552
2020-11-07 10:00:00,307269632
2020-11-07 16:00:00,324521984
2020-11-07 22:00:00,364826624
2020-11-08 04:00:00,374788096
2020-11-08 10:00:00,391901184
2020-11-08 16:00:00,424505344
2020-11-08 22:00:00,466595840
2020-11-09 04:00:00,524881920
2020-11-09 10:00:00,550072320
2020-11-09 16:00:00,665473024
2020-11-09 22:00:00,824381440
2020-11-10 04:00:00,859369472
2020-11-10 10:00:00,862793728
2020-11-10 16:00:00,863334400
2020-11-10 22:00:00,872796160
2020-11-11 04:00:00,881176576
2020-11-11 10:00:00,886042624
2020-11-11 16:00:00,899289088
2020-11-11 22:00:00,915058688
2020-11-12 04:00:00,926683136
2020-11-12 10:00:00,942362624
2020-11-12 16:00:00,954527744
2020-11-12 22:00:00,964530176
2020-11-13 04:00:00,270766080
2020-11-13 10:00:00,275902464
2020-11-13 16:00:00,286388224
2020-11-13 22:00:00,304222208
2020-11-14 04:00:00,308047872
2020-11-14 10:00:00,310202368
2020-11-14 16:00:00,351891456
2020-11-14 22:00:00,368590848
2020-11-15 04:00:00,384438272
2020-11-15 10:00:00,388001792
2020-11-15 16:00:00,419573760
2020-11-15 22:00:00,501420032
2020-11-16 04:00:00,540921856
2020-11-16 10:00:00,573435904
2020-11-16 16:00:00,760713216
2020-11-16 22:00:00,1007288320
2020-11-17 04:00:00,1074270208
2020-11-17 10:00:00,1074270208
2020-11-17 16:00:00,276402176
2020-11-17 22:00:00,291008512
2020-11-18 04:00:00,249413632
2020-11-18 10:00:00,268967936
2020-11-18 16:00:00,281501696
2020-11-18 22:00:00,297574400
2020-11-19 04:00:00,
2020-11-19 10:00:00,
2020-11-19 16:00:00,
2020-11-19 22:00:00,
2020-11-20 04:00:00,
2020-11-20 10:00:00,
2020-11-20 16:00:00,
2020-11-20 22:00:00,
2020-11-21 04:00:00,
2020-11-21 10:00:00,
2020-11-21 16:00:00,
2020-11-21 22:00:00,
2020-11-22 04:00:00,
2020-11-22 10:00:00,
2020-11-22 16:00:00,
2020-11-22 22:00:00,
2020-11-23 04:00:00,625942528
2020-11-23 10:00:00,647806976
2020-11-23 16:00:00,426504192
2020-11-23 22:00:00,651390976
2020-11-24 04:00:00,268419072
2020-11-24 10:00:00,270180352
2020-11-24 16:00:00,281550848
2020-11-24 22:00:00,286818304
2020-11-25 04:00:00,290988032
2020-11-25 10:00:00,293896192
2020-11-25 16:00:00,333791232
2020-11-25 22:00:00,344465408
2020-11-26 04:00:00,346390528
2020-11-26 10:00:00,346464256
2020-11-26 16:00:00,351854592
2020-11-26 22:00:00,353533952
2020-11-27 04:00:00,356343808
2020-11-27 10:00:00,360439808
2020-11-27 16:00:00,368705536
2020-11-27 22:00:00,382525440
2020-11-28 04:00:00,383311872
2020-11-28 10:00:00,385122304
2020-11-28 16:00:00,387497984
2020-11-28 22:00:00,394264576
2020-11-29 04:00:00,400850944
2020-11-29 10:00:00,401727488
2020-11-29 16:00:00,405938176
2020-11-29 22:00:00,413646848
2020-11-30 04:00:00,415965184
2020-11-30 10:00:00,425230336
2020-11-30 16:00:00,445153280
2020-11-30 22:00:00,447578112
