"Time","Value"
2020-10-13 23:00:00,0.020
2020-10-14 05:00:00,0.0059
2020-10-14 11:00:00,0.033
2020-10-14 17:00:00,0.040
2020-10-14 23:00:00,0.024
2020-10-15 05:00:00,0.0077
2020-10-15 11:00:00,0.029
2020-10-15 17:00:00,0.028
2020-10-15 23:00:00,0.021
2020-10-16 05:00:00,0.0085
2020-10-16 11:00:00,0.044
2020-10-16 17:00:00,0.030
2020-10-16 23:00:00,0.024
2020-10-17 05:00:00,0.0074
2020-10-17 11:00:00,0.015
2020-10-17 17:00:00,0.014
2020-10-17 23:00:00,0.011
2020-10-18 05:00:00,0.0070
2020-10-18 11:00:00,0.014
2020-10-18 17:00:00,0.026
2020-10-18 23:00:00,0.021
2020-10-19 05:00:00,0.0071
2020-10-19 11:00:00,0.040
2020-10-19 17:00:00,0.033
2020-10-19 23:00:00,0.023
2020-10-20 05:00:00,0.0070
2020-10-20 11:00:00,0.029
2020-10-20 17:00:00,0.032
2020-10-20 23:00:00,0.020
2020-10-21 05:00:00,0.0064
2020-10-21 11:00:00,0.040
2020-10-21 17:00:00,0.028
2020-10-21 23:00:00,0.021
2020-10-22 05:00:00,0.016
2020-10-22 11:00:00,0.030
2020-10-22 17:00:00,0.038
2020-10-22 23:00:00,0.030
2020-10-23 05:00:00,0.011
2020-10-23 11:00:00,0.032
2020-10-23 17:00:00,0.048
2020-10-23 23:00:00,0.035
2020-10-24 05:00:00,0.0096
2020-10-24 11:00:00,0.024
2020-10-24 17:00:00,0.037
2020-10-24 23:00:00,0.022
2020-10-25 05:00:00,0.010
2020-10-25 11:00:00,0.025
2020-10-25 17:00:00,0.044
2020-10-25 23:00:00,0.020
2020-10-26 05:00:00,0.0098
2020-10-26 11:00:00,0.041
2020-10-26 17:00:00,0.043
2020-10-26 23:00:00,0.027
2020-10-27 05:00:00,0.0066
2020-10-27 11:00:00,0.025
2020-10-27 17:00:00,0.027
2020-10-27 23:00:00,0.030
2020-10-28 05:00:00,0.0064
2020-10-28 11:00:00,0.050
2020-10-28 17:00:00,0.038
2020-10-28 23:00:00,0.022
2020-10-29 05:00:00,0.0068
2020-10-29 11:00:00,0.030
2020-10-29 17:00:00,0.019
2020-10-29 23:00:00,0.018
2020-10-30 05:00:00,0.0063
2020-10-30 11:00:00,0.059
2020-10-30 17:00:00,0.061
2020-10-30 23:00:00,0.063
2020-10-31 05:00:00,0.045
2020-10-31 11:00:00,0.049
2020-10-31 17:00:00,0.055
2020-10-31 23:00:00,0.057
2020-11-01 04:00:00,0.052
2020-11-01 10:00:00,0.062
2020-11-01 16:00:00,0.066
2020-11-01 22:00:00,0.083
2020-11-02 04:00:00,0.062
2020-11-02 10:00:00,0.078
2020-11-02 16:00:00,0.089
2020-11-02 22:00:00,0.092
2020-11-03 04:00:00,0.073
2020-11-03 10:00:00,0.024
2020-11-03 16:00:00,0.024
2020-11-03 22:00:00,0.025
2020-11-04 04:00:00,0.020
2020-11-04 10:00:00,0.048
2020-11-04 16:00:00,0.072
2020-11-04 22:00:00,0.065
2020-11-05 04:00:00,0.043
2020-11-05 10:00:00,0.074
2020-11-05 16:00:00,0.074
2020-11-05 22:00:00,0.072
2020-11-06 04:00:00,0.065
2020-11-06 10:00:00,0.096
2020-11-06 16:00:00,0.087
2020-11-06 22:00:00,0.026
2020-11-07 04:00:00,0.014
2020-11-07 10:00:00,0.025
2020-11-07 16:00:00,0.024
2020-11-07 22:00:00,0.023
2020-11-08 04:00:00,0.020
2020-11-08 10:00:00,0.025
2020-11-08 16:00:00,0.030
2020-11-08 22:00:00,0.041
2020-11-09 04:00:00,0.028
2020-11-09 10:00:00,0.040
2020-11-09 16:00:00,0.047
2020-11-09 22:00:00,0.059
2020-11-10 04:00:00,0.047
2020-11-10 10:00:00,0.060
