"Time","Value"
2020-10-13 23:00:00,363470848
2020-10-14 05:00:00,365666304
2020-10-14 11:00:00,366845952
2020-10-14 17:00:00,379854848
2020-10-14 23:00:00,377233408
2020-10-15 05:00:00,377192448
2020-10-15 11:00:00,376217600
2020-10-15 17:00:00,379125760
2020-10-15 23:00:00,379109376
2020-10-16 05:00:00,379109376
2020-10-16 11:00:00,380174336
2020-10-16 17:00:00,380936192
2020-10-16 23:00:00,380641280
2020-10-17 05:00:00,380477440
2020-10-17 11:00:00,379805696
2020-10-17 17:00:00,379977728
2020-10-17 23:00:00,380616704
2020-10-18 05:00:00,311017472
2020-10-18 11:00:00,315514880
2020-10-18 17:00:00,364404736
2020-10-18 23:00:00,366526464
2020-10-19 05:00:00,367738880
2020-10-19 11:00:00,371851264
2020-10-19 17:00:00,374390784
2020-10-19 23:00:00,374652928
2020-10-20 05:00:00,375349248
2020-10-20 11:00:00,374726656
2020-10-20 17:00:00,377544704
2020-10-20 23:00:00,378445824
2020-10-21 05:00:00,320806912
2020-10-21 11:00:00,335806464
2020-10-21 17:00:00,346382336
2020-10-21 23:00:00,346324992
2020-10-22 05:00:00,314441728
2020-10-22 11:00:00,330153984
2020-10-22 17:00:00,337428480
2020-10-22 23:00:00,342851584
2020-10-23 05:00:00,345366528
2020-10-23 11:00:00,343875584
2020-10-23 17:00:00,350560256
2020-10-23 23:00:00,351420416
2020-10-24 05:00:00,351363072
2020-10-24 11:00:00,352911360
2020-10-24 17:00:00,351862784
2020-10-24 23:00:00,352018432
2020-10-25 05:00:00,354123776
2020-10-25 11:00:00,355794944
2020-10-25 17:00:00,358563840
2020-10-25 23:00:00,358457344
2020-10-26 05:00:00,359440384
2020-10-26 11:00:00,359718912
2020-10-26 17:00:00,358670336
2020-10-26 23:00:00,358965248
2020-10-27 05:00:00,315858944
2020-10-27 11:00:00,323526656
2020-10-27 17:00:00,336527360
2020-10-27 23:00:00,341237760
2020-10-28 05:00:00,344883200
2020-10-28 11:00:00,360726528
2020-10-28 17:00:00,366084096
2020-10-28 23:00:00,365338624
2020-10-29 05:00:00,367607808
2020-10-29 11:00:00,365887488
2020-10-29 17:00:00,367009792
2020-10-29 23:00:00,367812608
2020-10-30 05:00:00,306139136
2020-10-30 11:00:00,408031232
2020-10-30 17:00:00,464818176
2020-10-30 23:00:00,506195968
2020-10-31 05:00:00,516673536
2020-10-31 11:00:00,519778304
2020-10-31 17:00:00,536850432
2020-10-31 23:00:00,551694336
2020-11-01 04:00:00,549859328
2020-11-01 10:00:00,557240320
2020-11-01 16:00:00,592457728
2020-11-01 22:00:00,614068224
2020-11-02 04:00:00,624054272
2020-11-02 10:00:00,645976064
2020-11-02 16:00:00,692801536
2020-11-02 22:00:00,725028864
2020-11-03 04:00:00,731721728
2020-11-03 10:00:00,336138240
2020-11-03 16:00:00,363745280
2020-11-03 22:00:00,387059712
2020-11-04 04:00:00,395120640
2020-11-04 10:00:00,428847104
2020-11-04 16:00:00,549040128
2020-11-04 22:00:00,591171584
2020-11-05 04:00:00,603918336
2020-11-05 10:00:00,650481664
2020-11-05 16:00:00,693923840
2020-11-05 22:00:00,724602880
2020-11-06 04:00:00,745033728
2020-11-06 10:00:00,778539008
2020-11-06 16:00:00,810782720
2020-11-06 22:00:00,353861632
2020-11-07 04:00:00,373342208
2020-11-07 10:00:00,393027584
2020-11-07 16:00:00,404135936
2020-11-07 22:00:00,420372480
2020-11-08 04:00:00,433610752
2020-11-08 10:00:00,436224000
2020-11-08 16:00:00,450535424
2020-11-08 22:00:00,493674496
2020-11-09 04:00:00,508436480
2020-11-09 10:00:00,507682816
2020-11-09 16:00:00,590970880
2020-11-09 22:00:00,644808704
2020-11-10 04:00:00,648052736
2020-11-10 10:00:00,654491648
2020-11-10 16:00:00,692256768
2020-11-10 22:00:00,752295936
2020-11-11 04:00:00,768647168
2020-11-11 10:00:00,788430848
2020-11-11 16:00:00,855965696
2020-11-11 22:00:00,924098560
2020-11-12 04:00:00,947699712
2020-11-12 10:00:00,976658432
2020-11-12 16:00:00,1048207360
2020-11-12 22:00:00,1124696064
2020-11-13 04:00:00,333262848
2020-11-13 10:00:00,400093184
2020-11-13 16:00:00,477728768
2020-11-13 22:00:00,582438912
2020-11-14 04:00:00,595193856
2020-11-14 10:00:00,597258240
2020-11-14 16:00:00,618508288
2020-11-14 22:00:00,620949504
2020-11-15 04:00:00,630222848
2020-11-15 10:00:00,633368576
2020-11-15 16:00:00,641830912
2020-11-15 22:00:00,690892800
